ID,Name,Type,Continent,Superregion,Region,Area
977,Yakutat,Land,North America,North America,Cascadia,Alaska Panhandle
978,Kenai,Land,North America,North America,Cascadia,Western Alaska
979,Unangan,Land,North America,North America,Cascadia,Western Alaska
980,Beothuk,Land,North America,North America,Canada,Newfoundland
981,Taqamkuk,Land,North America,North America,Canada,Newfoundland
982,Onamagag,Land,North America,North America,Canada,Lower Acadia
983,Epagoitgnag,Land,North America,North America,Canada,Upper Acadia
984,Segepenegatic,Land,North America,North America,Canada,Lower Acadia
985,Petkootkweak,Land,North America,North America,Canada,Upper Acadia
986,Gespegeogag,Land,North America,North America,Canada,Québec
987,Onguhiara,Land,North America,North America,Canada,Upper Canada
988,Attignawantan,Land,North America,North America,Canada,Huronia
989,Attigneenongnahac,Land,North America,North America,Canada,Huronia
990,Maisouna,Land,North America,North America,Canada,Trois-Rivieres
991,Odishkwaagamiig,Land,North America,North America,Canada,Upper Ontario
992,Weskarini,Land,North America,North America,Canada,Laurentia
993,Osheaga,Land,North America,North America,Canada,Lower Canada
994,Stadacona,Land,North America,North America,Canada,Québec
995,Toutouskak,Land,North America,North America,Canada,Québec
996,Oumamiwek,Land,North America,North America,Canada,Cote Nord
997,Chisedec,Land,North America,North America,Canada,Labrador
998,Qikirmiut,Land,North America,North America,Hudson Bay,James Bay
999,Cisasipi,Land,North America,North America,Hudson Bay,James Bay
1000,Iyiyiw,Land,North America,North America,Hudson Bay,James Bay
1001,Marameg,Land,North America,North America,Canada,Upper Ontario
1002,Abitibi,Land,North America,North America,Hudson Bay,Abitibi
1003,Mosoni,Land,North America,North America,Hudson Bay,James Bay
1004,Attawapiskat,Land,North America,North America,Hudson Bay,James Bay
1005,Mushkegowuk,Land,North America,North America,Hudson Bay,Hudson Bay
1006,Ahiarmiut,Land,North America,North America,Hudson Bay,Hudson Bay
1007,Gojijiwininiwag,Land,North America,North America,Canada,Upper Ontario
1008,Wiinibig,Land,North America,North America,Hudson Bay,Manitoba
1009,Atikaki,Land,North America,North America,Hudson Bay,Hudson Bay
1010,Manitowapow,Land,North America,North America,Hudson Bay,Manitoba
1011,Kinougeoulini,Land,North America,North America,Hudson Bay,Manitoba
1012,Satsuma,Land,Asia,Far East,Japan,Southern Kyushu
1013,Cheongju,Land,Asia,Far East,Korea,Southern Korea
1014,Bungo,Land,Asia,Far East,Japan,Northern Kyushu
1015,Okinawa,Land,Asia,Far East,Japan,Southern Kyushu
1016,Ha Tinh,Land,Asia,East Indies,Indochina,Annam
1017,Suo,Land,Asia,Far East,Japan,Sanyodo
1018,Izumo,Land,Asia,Far East,Japan,San'indo
1019,Harima,Land,Asia,Far East,Japan,Sanyodo
1020,Kyoto,Land,Asia,Far East,Japan,Kinai
1021,Settsu,Land,Asia,Far East,Japan,Kinai
1022,Indrapura,Land,Asia,East Indies,Indochina,Champa
1023,Echizen,Land,Asia,Far East,Japan,Hokuriku
1024,Echigo,Land,Asia,Far East,Japan,Hokuriku
1025,Uzen,Land,Asia,Far East,Japan,Tohoku
1026,Rikuzen,Land,Asia,Far East,Japan,Tohoku
1027,Hitachi,Land,Asia,Far East,Japan,Eastern Kanto
1028,Musashi,Land,Asia,Far East,Japan,Western Kanto
1029,Kai,Land,Asia,Far East,Japan,Eastern Chubu
1030,Owari,Land,Asia,Far East,Japan,Western Chubu
1031,Kamikawa,Land,Asia,Far East,Japan,Hokkaido
1032,The Kurils,Land,Asia,Far East,Japan,Hokkaido
1033,Sakhalin,Land,Asia,Far East,Manchuria,Sakhalin
1034,Kamchatka,Land,Asia,Tartary,East Siberia,Kamchatka
1035,Penzhina,Land,Asia,Tartary,East Siberia,Kamchatka
1036,Kolyma,Land,Asia,Tartary,East Siberia,Kolyma
1037,Omolon,Land,Asia,Tartary,East Siberia,Kolyma
1038,Karalveyem,Land,Asia,Tartary,East Siberia,Kamchatka
1039,Verkhoyansk,Land,Asia,Tartary,East Siberia,Kolyma
1040,Suntar Khayata,Land,Asia,Tartary,East Siberia,Kolyma
1041,Gizhiga,Land,Asia,Tartary,East Siberia,Kamchatka
1042,Sakha,Land,Asia,Tartary,East Siberia,Sakha
1043,Okhotsk,Land,Asia,Tartary,East Siberia,Okhotsk
1044,Tauisk,Land,Asia,Tartary,East Siberia,Okhotsk
1045,Yakut,Land,Asia,Tartary,East Siberia,Yakutia
1046,Maya,Land,Asia,Tartary,East Siberia,Sakha
1047,Jugjur,Land,Asia,Tartary,East Siberia,Okhotsk
1048,Miyoo Gasan,Land,Asia,Far East,Manchuria,North Ilin Hala
1049,Haiilanboo,Land,Asia,Far East,Manchuria,East Heilongjiangord
1050,Deren,Land,Asia,Far East,Manchuria,North Ilin Hala
1051,Aldan,Land,Asia,Tartary,East Siberia,Yakutia
1052,Stanovoy,Land,Asia,Tartary,East Siberia,Okhotsk
1053,Hinggan,Land,Asia,Far East,Manchuria,West Heilongjiangord
1054,Mukhtuya,Land,Asia,Tartary,East Siberia,Yakutia
1055,Kirenga,Land,Asia,Tartary,East Siberia,Buryatia
1056,Barguzin,Land,Asia,Tartary,East Siberia,Buryatia
1057,Ude,Land,Asia,Tartary,East Siberia,Buryatia
1058,Onan Gol,Land,Asia,Tartary,East Siberia,Buryatia
1059,East Tunguska,Land,Asia,Tartary,West Siberia,Tunguska
1060,Irkutsk,Land,Asia,Tartary,West Siberia,Irkutsk
1061,West Tunguska,Land,Asia,Tartary,West Siberia,Tunguska
1062,Angara,Land,Asia,Tartary,West Siberia,Irkutsk
1063,Sayan,Land,Asia,Tartary,West Siberia,Irkutsk
1064,Tomsk,Land,Asia,Tartary,West Siberia,Central Siberia
1065,Kuznetsk,Land,Asia,Tartary,Mongolia,Tannu Uriankhai
1066,Altai Uriankhai,Land,Asia,Tartary,Mongolia,Tannu Uriankhai
1067,Turukhan,Land,Asia,Tartary,West Siberia,Central Siberia
1068,Ket,Land,Asia,Tartary,West Siberia,Central Siberia
1069,Surgut,Land,Asia,Tartary,West Siberia,Kara
1070,Narim,Land,Asia,Tartary,West Siberia,Central Siberia
1071,Irtesh,Land,Asia,Tartary,West Siberia,Yrtesh
1072,Obdorsk,Land,Asia,Tartary,West Siberia,Kara
1073,Berezov,Land,Asia,Tartary,West Siberia,Kara
1074,Sibir,Land,Asia,Tartary,West Siberia,Ishim
1075,Tyumen,Land,Asia,Tartary,West Siberia,Ishim
1076,Kurgan,Land,Asia,Tartary,West Siberia,Ishim
1077,Solikamsk,Land,Europe,Eastern Europe,Ural,Perm
1078,Tura,Land,Europe,Eastern Europe,Ural,Ural
1079,Viatka,Land,Europe,Eastern Europe,Ural,Galich
1080,Pelym,Land,Europe,Eastern Europe,Ural,Ural
1081,Simbirsk,Land,Europe,Eastern Europe,Ural,Samara
1082,Kazan,Land,Europe,Eastern Europe,Ural,Kazan
1083,Vetluga,Land,Europe,Eastern Europe,Ural,Galich
1084,Wadjuk,Land,Oceania,Oceania,Australia,Perth
1085,Paredarerme,Land,Oceania,Oceania,Australia,Tasmania
1086,Kaurna,Land,Oceania,Oceania,Australia,Princeland
1087,Wurundjeri,Land,Oceania,Oceania,Australia,Victoria
1088,Wergaia,Land,Oceania,Oceania,Australia,Victoria
1089,Wiradjuri,Land,Oceania,Oceania,Australia,Victoria
1090,Eora,Land,Oceania,Oceania,Australia,Illawara
1091,Kamilaroi,Land,Oceania,Oceania,Australia,New South Wales
1092,Gubbi-Gubbi,Land,Oceania,Oceania,Australia,New South Wales
1093,Yagalingu,Land,Oceania,Oceania,Australia,Queensland
1094,Turrbal,Land,Oceania,Oceania,Australia,Queensland
1095,Falklands,Land,South America,Andes,La Plata,South Atlantic Islands
1096,Cape Verde,Land,Africa,Northern Africa,Guinea,Cap Verde
1097,Fernando Po,Land,Africa,Northern Africa,Guinea,Sao Tome
1098,St. Helena,Land,Africa,Southern Africa,Congo,Angola
1099,Socotra,Land,Asia,Levant,Arabia,Mahra
1100,Mahe,Land,Africa,Southern Africa,East Africa,Mascarenes
1101,Hollhavai,Land,Asia,East Indies,Malaya,Indian Ocean Islands
1102,Mauritius,Land,Africa,Southern Africa,East Africa,Mascarenes
1103,Île Bourbon,Land,Africa,Southern Africa,East Africa,Mascarenes
1104,Eiriksfjord,Land,North America,North America,Canada,Greenland
1105,Vestbygden,Land,North America,North America,Canada,Greenland
1106,Te Tai Tokerau,Land,Oceania,Oceania,Oceania,Te Ika a Maui Hauauru
1107,Taranaki,Land,Oceania,Oceania,Oceania,Te Ika a Maui Hauauru
1108,Te Moana a Toi,Land,Oceania,Oceania,Oceania,Te Ika a Maui Waho
1109,Timaru,Land,Oceania,Oceania,Oceania,Te Waipounamu
1110,Agadir,Land,Africa,Northern Africa,Maghreb,Southern Morocco
1111,Arguin,Land,Africa,Northern Africa,Guinea,Cap Verde
1112,Trarza,Land,Africa,Northern Africa,Guinea,Jolof
1113,Cayor,Land,Africa,Northern Africa,Guinea,Jolof
1114,Gabu,Land,Africa,Northern Africa,Guinea,Futa Jallon
1115,Brakna,Land,Africa,Northern Africa,Niger,Tekrur
1116,Wolof,Land,Africa,Northern Africa,Guinea,Jolof
1117,Futa Jallon,Land,Africa,Northern Africa,Guinea,Futa Jallon
1118,Sierra Leone,Land,Africa,Northern Africa,Guinea,Guinea
1119,Grain Coast,Land,Africa,Northern Africa,Guinea,Guinea
1120,Bambuk,Land,Africa,Northern Africa,Niger,Manding
1121,Bure,Land,Africa,Northern Africa,Niger,Manding
1122,Bagoe,Land,Africa,Northern Africa,Niger,Kong
1123,Segu,Land,Africa,Northern Africa,Niger,Massina
1124,Joma,Land,Africa,Northern Africa,Niger,Manding
1125,Kong,Land,Africa,Northern Africa,Niger,Kong
1126,Ivory Coast,Land,Africa,Northern Africa,Guinea,West African Coast
1127,Tuat,Land,Africa,Northern Africa,Sahel,Western Sahara
1128,Taudeni,Land,Africa,Northern Africa,Sahel,Western Sahara
1129,Azawad,Land,Africa,Northern Africa,Sahel,Western Sahara
1130,Tadmekka,Land,Africa,Northern Africa,Sahel,Western Sahara
1131,Massina,Land,Africa,Northern Africa,Niger,Massina
1132,Timbuktu,Land,Africa,Northern Africa,Sahel,Niger Bend
1133,Gao,Land,Africa,Northern Africa,Sahel,Niger Bend
1134,Jenne,Land,Africa,Northern Africa,Niger,Jenne
1135,Yatenga,Land,Africa,Northern Africa,Niger,Upper Volta
1136,Gurma,Land,Africa,Northern Africa,Niger,Upper Volta
1137,Wagadugu,Land,Africa,Northern Africa,Niger,Upper Volta
1138,Kumasi,Land,Africa,Northern Africa,Niger,Lower Volta
1139,Gold Coast,Land,Africa,Northern Africa,Guinea,West African Coast
1140,Abomey,Land,Africa,Northern Africa,Niger,Atacora Oueme
1141,Whydah,Land,Africa,Northern Africa,Guinea,West African Coast
1142,Dendi,Land,Africa,Northern Africa,Sahel,Dendi
1143,Borgu,Land,Africa,Northern Africa,Niger,Atacora Oueme
1144,Oyo,Land,Africa,Northern Africa,Niger,Lower Niger
1145,Nupe,Land,Africa,Northern Africa,Niger,Lower Niger
1146,Ife,Land,Africa,Northern Africa,Niger,Lower Niger
1147,Benin,Land,Africa,Northern Africa,Guinea,Benin
1148,Gobir,Land,Africa,Northern Africa,Niger,Katsina
1149,Katsina,Land,Africa,Northern Africa,Niger,Katsina
1150,Zamfara,Land,Africa,Northern Africa,Niger,Zazzau
1151,Bonny,Land,Africa,Northern Africa,Guinea,Gulf of Guinea
1152,Idah,Land,Africa,Northern Africa,Niger,Lower Niger
1153,Pindinga,Land,Africa,Northern Africa,Niger,Lower Niger
1154,Zazzau,Land,Africa,Northern Africa,Niger,Zazzau
1155,Kano,Land,Africa,Northern Africa,Niger,Kano
1156,Damagaram,Land,Africa,Northern Africa,Sahel,West Azbin
1157,Borno,Land,Africa,Northern Africa,Sahel,Bornu
1158,Kanem,Land,Africa,Northern Africa,Sahel,Kanem
1159,Bagirmi,Land,Africa,Northern Africa,Sahel,Kanem
1160,Mandara,Land,Africa,Northern Africa,Sahel,Bornu
1161,Bauchi,Land,Africa,Northern Africa,Niger,Adamawa Plateau
1162,Wukari,Land,Africa,Northern Africa,Niger,Adamawa Plateau
1163,Calabar,Land,Africa,Northern Africa,Guinea,Gulf of Guinea
1164,Cameroon,Land,Africa,Northern Africa,Guinea,Gulf of Guinea
1165,Gabon,Land,Africa,Northern Africa,Guinea,Gulf of Guinea
1166,Loango,Land,Africa,Southern Africa,Congo,Kongolese Coast
1167,Luanda,Land,Africa,Southern Africa,Congo,Angola
1168,Mbamba,Land,Africa,Southern Africa,Congo,Kongolese Coast
1169,Anziku,Land,Africa,Southern Africa,Congo,Kongo
1170,Mpemba,Land,Africa,Southern Africa,Congo,Kongo
1171,Ndongo,Land,Africa,Southern Africa,Congo,Angola
1172,Benguela,Land,Africa,Southern Africa,Congo,Angola
1173,Namibia,Wasteland,Africa,,,
1174,Ezorongondo,Land,Africa,Southern Africa,Congo,Angola
1175,Lesser Namaqualand,Land,Africa,Southern Africa,South Africa,Cape of Good Hope
1176,Roggeveld,Land,Africa,Southern Africa,South Africa,South African Plateau
1177,Cape,Land,Africa,Southern Africa,South Africa,Cape of Good Hope
1178,Great Karoo,Land,Africa,Southern Africa,South Africa,South African Plateau
1179,Swellendam,Land,Africa,Southern Africa,South Africa,Cape of Good Hope
1180,Xhosa,Land,Africa,Southern Africa,South Africa,Cape of Good Hope
1181,Natal,Land,Africa,Southern Africa,South Africa,Natal
1182,Matsolo,Land,Africa,Southern Africa,South Africa,Natal
1183,Inhambane,Land,Africa,Southern Africa,South Africa,Quelimane
1184,Zimbabwe,Land,Africa,Southern Africa,South Africa,Zimbabwe
1185,Butua,Land,Africa,Southern Africa,South Africa,Butua
1186,Sofala,Land,Africa,Southern Africa,South Africa,Quelimane
1187,Sena,Land,Africa,Southern Africa,East Africa,Lower Zambezi
1188,Massapa,Land,Africa,Southern Africa,South Africa,Butua
1189,Shangwe,Land,Africa,Southern Africa,South Africa,Butua
1190,Zumbo,Land,Africa,Southern Africa,East Africa,Lower Zambezi
1191,Tete,Land,Africa,Southern Africa,East Africa,Lower Zambezi
1192,Quelimane,Land,Africa,Southern Africa,South Africa,Quelimane
1193,Menabe,Land,Africa,Southern Africa,East Africa,Sakalava
1194,Besalampy,Land,Africa,Southern Africa,East Africa,Sakalava
1195,Mozambique,Land,Africa,Southern Africa,East Africa,Mozambique
1196,Kilwa,Land,Africa,Southern Africa,East Africa,Central Swahili Coast
1197,Mzizima,Land,Africa,Southern Africa,East Africa,Central Swahili Coast
1198,Lindi,Land,Africa,Southern Africa,East Africa,Central Swahili Coast
1199,Bagamoyo,Land,Africa,Southern Africa,East Africa,Central Swahili Coast
1200,Tanga,Land,Africa,Southern Africa,East Africa,Mombasa
1201,Zanzibar,Land,Africa,Southern Africa,East Africa,Central Swahili Coast
1202,Mombasa,Land,Africa,Southern Africa,East Africa,Mombasa
1203,Malindi,Land,Africa,Southern Africa,East Africa,Mombasa
1204,Lamu,Land,Africa,Southern Africa,East Africa,Northern Swahili Coast
1205,Mogadishu,Land,Africa,Northern Africa,Horn of Africa,Mogadishu
1206,Qardho,Land,Africa,Northern Africa,Horn of Africa,Majeerteen
1207,Ogaden,Land,Africa,Northern Africa,Horn of Africa,Ogaden
1208,Degehabur,Land,Africa,Northern Africa,Horn of Africa,Ogaden
1209,Berbera,Land,Africa,Northern Africa,Horn of Africa,Somaliland
1210,Dawaro,Land,Africa,Northern Africa,Horn of Africa,Ogaden
1211,Harer,Land,Africa,Northern Africa,Horn of Africa,Ifat
1212,Zeila,Land,Africa,Northern Africa,Horn of Africa,Ifat
1213,Shewa,Land,Africa,Northern Africa,Horn of Africa,Shewa
1214,Wollo,Land,Africa,Northern Africa,Horn of Africa,Central Ethiopia
1215,Tajura,Land,Africa,Northern Africa,Horn of Africa,Aussa
1216,Tegali,Land,Africa,Northern Africa,Sahel,Kurdufan
1217,Fazughli,Land,Africa,Northern Africa,Horn of Africa,Sennar
1218,Sidamo,Land,Africa,Northern Africa,Horn of Africa,Hadiya
1219,Darfur,Land,Africa,Northern Africa,Sahel,Central Sahara
1220,Bayuda,Land,Africa,Northern Africa,Horn of Africa,Dongola
1221,El Obeid,Land,Africa,Northern Africa,Sahel,Kurdufan
1222,Gezira,Land,Africa,Northern Africa,Horn of Africa,Upper Nubia
1223,Gojjam,Land,Africa,Northern Africa,Horn of Africa,Central Ethiopia
1224,Gonder,Land,Africa,Northern Africa,Horn of Africa,Central Ethiopia
1225,Butana,Land,Africa,Northern Africa,Horn of Africa,Upper Nubia
1226,Beja,Land,Africa,Northern Africa,Horn of Africa,Upper Nubia
1227,Aksum,Land,Africa,Northern Africa,Horn of Africa,Tigray
1228,Dongola,Land,Africa,Northern Africa,Horn of Africa,Dongola
1229,Berber,Land,Africa,Northern Africa,Horn of Africa,Dongola
1230,Massawa,Land,Africa,Northern Africa,Horn of Africa,Red Sea Coast
1231,Aswan,Land,Africa,Levant,Egypt,Said
1232,Suakin,Land,Africa,Northern Africa,Horn of Africa,Red Sea Coast
1233,Kharga,Land,Africa,Levant,Egypt,al-Wahat
1234,Qasr Ibrim,Land,Africa,Levant,Egypt,Lower Nubia
1235,Guam,Land,Oceania,Oceania,Oceania,West Micronesia
1236,Rabaul,Land,Oceania,Oceania,Oceania,Melanesia
1237,Hanuabada,Land,Oceania,East Indies,Moluccas,Papuan Peninsula
1238,Solomon Islands,Land,Oceania,Oceania,Oceania,Melanesia
1239,Vanuatu,Land,Oceania,Oceania,Oceania,Melanesia
1240,Hawaii,Land,Oceania,Oceania,Oceania,Northern Polynesia
1241,Kiribati,Land,Oceania,Oceania,Oceania,East Micronesia
1242,Viti Levu,Land,Oceania,Oceania,Oceania,Fiji
1243,Samoa,Land,Oceania,Oceania,Oceania,Polynesia
1244,Tuamotu Islands,Land,Oceania,Oceania,Oceania,Eastern Polynesia
1245,Manokwari,Land,Oceania,East Indies,Moluccas,Vogelkop Peninsula
1246,Ata Whenua,Land,Oceania,Oceania,Oceania,Te Waipounamu
1247,Corsica,Land,Europe,Western Europe,Italy,Western Mediterranean Islands
1248,Maldives,Land,Asia,East Indies,Malaya,Indian Ocean Islands
1249,Yola,Land,Africa,Northern Africa,Niger,Adamawa Plateau
1250,Vänern,Lake,,,,
1251,Vättern,Lake,,,,
1252,Gulf of Bothnia,Inland sea,,North Atlantic,Baltic Sea,Baltic Sea
1253,Eastern Sea of Åland,Inland sea,,North Atlantic,Baltic Sea,Baltic Sea
1254,Gulf of Finland,Inland sea,,North Atlantic,Baltic Sea,Baltic Sea
1255,Western Baltic Sea,Inland sea,,North Atlantic,Baltic Sea,Baltic Sea
1256,Gulf of Riga,Inland sea,,North Atlantic,Baltic Sea,Baltic Sea
1257,Southern Baltic Sea,Inland sea,,North Atlantic,Baltic Sea,Baltic Sea
1258,Öresund,Inland sea,,North Atlantic,Baltic Sea,Kattegat
1259,Kattegat,Inland sea,,North Atlantic,Baltic Sea,Kattegat
1260,Lake Peipus,Lake,,,,
1261,Ladoga,Lake,,,,
1262,Onega,Lake,,,,
1263,Barents Sea,Sea,,North Atlantic,North Atlantic,White Sea
1264,Lofoten Sea,Sea,,North Atlantic,North Atlantic,White Sea
1265,Northern Norwegian Sea,Sea,,North Atlantic,North Atlantic,Norwegian Sea
1266,Southern Norwegian Sea,Sea,,North Atlantic,North Atlantic,North Sea
1267,Skagerrak,Sea,,North Atlantic,Baltic Sea,Kattegat
1268,Helgoland Bight,Sea,,North Atlantic,North Atlantic,North Sea
1269,Coast of Holland,Sea,,North Atlantic,North Atlantic,North Sea
1270,Dogger Bank,Sea,,North Atlantic,North Atlantic,North Sea
1271,Straits of Dover,Sea,,North Atlantic,North Atlantic,English Channel
1272,The Channel,Sea,,North Atlantic,North Atlantic,English Channel
1273,Taveta,Land,Africa,Southern Africa,Central Africa,Kenya
1274,Coast of Brittany,Sea,,North Atlantic,North Atlantic,Bay of Biscay
1275,Quiberon Bay,Sea,,North Atlantic,North Atlantic,Bay of Biscay
1276,Cote D'Argent,Sea,Europe,North Atlantic,North Atlantic,Bay of Biscay
1277,Bay of Biscay,Open sea,,North Atlantic,North Atlantic,Bay of Biscay
1278,Cantabrian Sea,Sea,,North Atlantic,North Atlantic,Bay of Biscay
1279,Tyne,Sea,,North Atlantic,North Atlantic,North Sea
1280,Firth of Forth,Sea,,North Atlantic,North Atlantic,North Sea
1281,Coast of Shetland,Sea,Europe,North Atlantic,North Atlantic,North Sea
1282,Moray Firth,Sea,,North Atlantic,North Atlantic,North Sea
1283,North Channel,Sea,,North Atlantic,North Atlantic,North Atlantic
1284,Irish Sea,Sea,,North Atlantic,North Atlantic,Celtic Sea
1285,St. George's Channel,Sea,,North Atlantic,North Atlantic,Celtic Sea
1286,Donegal Bay,Sea,,North Atlantic,North Atlantic,North Atlantic
1287,Dingle Bay,Sea,,North Atlantic,North Atlantic,North Atlantic
1288,Celtic Sea,Sea,,North Atlantic,North Atlantic,Celtic Sea
1289,Western Approaches,Open sea,,North Atlantic,North Atlantic,Celtic Sea
1290,Cape Finisterre,Sea,,North Atlantic,North Atlantic,North Atlantic
1291,Lusitanian Sea,Sea,,North Atlantic,North Atlantic,North Atlantic
1292,Gulf of Cadiz,Sea,,North Atlantic,North Atlantic,North Atlantic
1293,Straits of Gibraltar,Sea,Europe,Mediterranean Sea,Mediterranean,Western Mediterranean
1294,Gulf of Almeria,Inland sea,,Mediterranean Sea,Mediterranean,Western Mediterranean
1295,Gulf of Valencia,Inland sea,,Mediterranean Sea,Mediterranean,Western Mediterranean
1296,Gulf of Lion,Inland sea,,Mediterranean Sea,Mediterranean,Western Mediterranean
1297,Cote D'Azur,Inland sea,Europe,Mediterranean Sea,Mediterranean,Western Mediterranean
1298,Ligurian Sea,Inland sea,,Mediterranean Sea,Mediterranean,Western Mediterranean
1299,Coast of the Faeroes,Sea,,North Atlantic,North Atlantic,Norwegian Sea
1300,Western Mediterranean,Inland sea,,Mediterranean Sea,Mediterranean,Western Mediterranean
1301,Barbary Coast,Inland sea,,Mediterranean Sea,Mediterranean,Western Mediterranean
1302,Cape Bon,Inland sea,,Mediterranean Sea,Mediterranean,Western Mediterranean
1303,Tyrrenean Sea,Inland sea,,Mediterranean Sea,Mediterranean,Western Mediterranean
1304,Bay of Napoli,Inland sea,,Mediterranean Sea,Mediterranean,Western Mediterranean
1305,Gulf of Gabes,Inland sea,,Mediterranean Sea,Mediterranean,Western Mediterranean
1306,Sao Tome,Land,Africa,Northern Africa,Guinea,Sao Tome
1307,Straits of Messina,Inland sea,,Mediterranean Sea,Mediterranean,Western Mediterranean
1308,Gulf of Venice,Inland sea,Europe,Mediterranean Sea,Mediterranean,Eastern Mediterranean
1309,Adriatic Sea,Inland sea,,Mediterranean Sea,Mediterranean,Eastern Mediterranean
1310,Straits of Otranto,Inland sea,,Mediterranean Sea,Mediterranean,Eastern Mediterranean
1311,Gulf of Taranto,Inland sea,,Mediterranean Sea,Mediterranean,Eastern Mediterranean
1312,Ionian Sea,Inland sea,,Mediterranean Sea,Mediterranean,Eastern Mediterranean
1313,Gulf of Sirte,Inland sea,,Mediterranean Sea,Mediterranean,Eastern Mediterranean
1314,Gulf of Bomba,Inland sea,,Mediterranean Sea,Mediterranean,Eastern Mediterranean
1315,Bay of Alexandria,Inland sea,,Mediterranean Sea,Mediterranean,Eastern Mediterranean
1316,Palestinian Coast,Inland sea,,Mediterranean Sea,Mediterranean,Eastern Mediterranean
1317,Gulf of Cyprus,Inland sea,,Mediterranean Sea,Mediterranean,Eastern Mediterranean
1318,Spiš,Land,Europe,Eastern Europe,Carpathia,Slovakia
1319,Aegean Sea,Inland sea,,Mediterranean Sea,Mediterranean,Eastern Mediterranean
1320,Sea of Marmara,Inland sea,Europe,Mediterranean Sea,Mediterranean,Eastern Mediterranean
1321,Gulf of Varna,Inland sea,,Mediterranean Sea,Mediterranean,Black Sea
1322,Gulf of Odessa,Inland sea,,Mediterranean Sea,Mediterranean,Black Sea
1323,Sea of Azov,Inland sea,Europe,Mediterranean Sea,Mediterranean,Black Sea
1324,Eastern Black Sea,Inland sea,,Mediterranean Sea,Mediterranean,Black Sea
1325,Lake Balaton,Lake,,,,
1326,Caspian Sea,Lake,,,,
1327,Aral Sea,Lake,,,,
1328,Gulf of Suez,Inland sea,,Western Indian Ocean,Arabian Sea,Red Sea
1329,Red Sea,Inland sea,,Western Indian Ocean,Arabian Sea,Red Sea
1330,Bab el Mandeb,Sea,,Western Indian Ocean,Arabian Sea,Red Sea
1331,Gulf of Aden,Sea,Africa,Western Indian Ocean,Arabian Sea,Arabian Sea
1332,Gulf of Oman,Sea,,Western Indian Ocean,Arabian Sea,Persian Gulf
1333,Gulf of Masirah,Sea,,Western Indian Ocean,Arabian Sea,Arabian Sea
1334,Straits of Hormuz,Inland sea,,Western Indian Ocean,Arabian Sea,Persian Gulf
1335,Persian Gulf,Inland sea,Asia,Western Indian Ocean,Arabian Sea,Persian Gulf
1336,Coast of Makran,Sea,,Western Indian Ocean,Arabian Sea,Persian Gulf
1337,Coast of Gujarat,Sea,,Western Indian Ocean,Arabian Sea,Arabian Sea
1338,Konkan Coast,Sea,,Western Indian Ocean,Arabian Sea,Arabian Sea
1339,Malabar Coast,Sea,,Western Indian Ocean,Arabian Sea,Arabian Sea
1340,Comorin Cape,Sea,Asia,Western Indian Ocean,Arabian Sea,Arabian Sea
1341,Coast of Coromandel,Sea,,Indian Ocean,Eastern Indian Ocean,Bay of Bengal
1342,Coast of Orissa,Sea,,Indian Ocean,Eastern Indian Ocean,Bay of Bengal
1343,Ganges Delta,Sea,Asia,Indian Ocean,Eastern Indian Ocean,Bay of Bengal
1344,Arakan Coast,Sea,,Indian Ocean,Eastern Indian Ocean,Bay of Bengal
1345,Irrawady Delta,Inland sea,,Indian Ocean,Eastern Indian Ocean,Andaman Sea
1346,Eastern Bay of Bengal,Sea,,Indian Ocean,Eastern Indian Ocean,Bay of Bengal
1347,Andaman Sea,Inland sea,,Indian Ocean,Eastern Indian Ocean,Andaman Sea
1348,Straits of Malacca,Inland sea,,Indian Ocean,Eastern Indian Ocean,Andaman Sea
1349,Nicobar Islands,Sea,,Indian Ocean,Eastern Indian Ocean,Andaman Sea
1350,Coast of Aceh,Inland sea,,Indian Ocean,Eastern Indian Ocean,Eastern Indian Ocean
1351,Coast of Sumatra,Inland sea,,Indian Ocean,Eastern Indian Ocean,Eastern Indian Ocean
1352,Sunda Strait,Inland sea,,Indian Ocean,Eastern Indian Ocean,Eastern Indian Ocean
1353,Coast of Java,Inland sea,,Indian Ocean,Eastern Indian Ocean,Eastern Indian Ocean
1354,Coast of Blambangan,Inland sea,,Indian Ocean,Eastern Indian Ocean,Eastern Indian Ocean
1355,Straits of Lombok,Inland sea,,Indian Ocean,South China Sea,Java Sea
1356,Sawu Sea,Inland sea,,Indian Ocean,South China Sea,Banda & Arafura
1357,Flores Sea,Inland sea,,Indian Ocean,South China Sea,Banda & Arafura
1358,Java Sea,Inland sea,,Indian Ocean,South China Sea,Java Sea
1359,Straits of Makassar,Inland sea,,Indian Ocean,South China Sea,Celebes Sea
1360,Karimata Strait,Inland sea,,Indian Ocean,South China Sea,Java Sea
1361,Straits of Johor,Inland sea,Asia,Indian Ocean,South China Sea,South China Sea
1362,Malayan Sea,Inland sea,,Indian Ocean,South China Sea,South China Sea
1363,Coast of Sarawak,Inland sea,,Indian Ocean,South China Sea,South China Sea
1364,Cape Cà Mau,Inland sea,,Indian Ocean,South China Sea,South China Sea
1365,Gulf of Siam,Inland sea,Asia,Indian Ocean,South China Sea,South China Sea
1366,Cam Ranh Bay,Inland sea,,Indian Ocean,South China Sea,South China Sea
1367,South China Sea,Open sea,,Indian Ocean,South China Sea,South China Sea
1368,Palawan Passage,Inland sea,,Indian Ocean,South China Sea,South China Sea
